particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
,delta,,,113,,,,,,,,10985,1.02868,∆ abs(i)
,max,1752.6,1752.6,104325,1.0,1.0,-1.0,3.0,-2.0,-1.5,-0.5,,,
,mean,1752.6(1),1752.6,106,,,,,,,,,,
,min,1752.5,1752.5,104220,1.0,1.0,-1.0,3.0,-3.0,1.0,-0.5,,,
,delta,,,106,,,,,,,,65910,0.16083,∆ abs(i)
,max,1752.6,1752.6,793225,1.5,-2.5,0.5,-2.5,0.5,-0.5,0.0,,,
,mean,1752.6(1),1752.6,-1327,,,,,,,,,,
,min,1752.5,1752.5,794553,1.5,-2.5,0.5,-1.5,-2.5,2.5,-1.0,,,
,delta,,,1327,,,,,,,,10985,12.08011,∆ abs(i)
,max,1752.6,1752.6,808726,1.5,-2.5,1.0,0.0,2.5,2.5,0.5,,,
,mean,1752.6(1),1752.6,-365,,,,,,,,,,
,min,1752.5,1752.5,809092,1.5,-2.5,1.0,0.5,-1.0,0.0,1.0,,,
,delta,,,365,,,,,,,,10985,3.32271,∆ abs(i)
,max,1752.6,1752.6,870911,1.5,-2.0,-2.5,-2.0,0.5,2.5,0.0,,,
,mean,1752.6(1),1752.5,525,,,,,,,,,,
,min,1752.5,1752.5,870387,1.5,-2.0,-2.5,-2.5,3.0,2.0,0.5,,,
,delta,,,525,,,,,,,,10985,4.77924,∆ abs(i)
,max,1752.6,1752.6,889264,1.5,-2.0,-2.0,2.5,-1.0,-1.5,-1.0,,,
,mean,1752.6(1),1752.5,511,,,,,,,,,,
,min,1752.5,1752.5,888754,1.5,-2.0,-2.0,2.0,1.5,-0.5,-1.0,,,
,delta,,,511,,,,,,,,10985,4.6518,∆ abs(i)
,total,,,38190,,,,,,,,142805,26.74276,Σ ∆i
Proton,particle,,,,,,,,,,,,,
,max,1836.152673458,1836.152673408,145303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
,mean,1836.152673426(32),1836.152673408,1,,,,,,,,,,
,min,1836.152673394,1836.152673408,145303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
,delta,,,1,,,,,,,,10985,0.0091,∆ abs(i)
,total,,,1,,,,,,,,10985,0.0091,Σ ∆i
H,particle,,,,,,,,,,,,,
,max,1837.67,1837.66,128928,1.0,1.0,0.5,-2.0,-1.5,1.5,1.0,,,
,mean,1837.47(-0.29)(0.20),1837.42,-208,,,,,,,,,,
,min,1837.18,1837.18,129137,1.0,1.0,0.5,-2.0,0.0,3.0,0.5,,,
,delta,,,208,,,,,,,,10985,1.89349,∆ abs(i)
,max,1837.67,1837.66,146744,1.0,1.0,1.0,2.0,-1.0,2.5,-1.0,,,
,mean,1837.47(-0.29)(0.20),1837.42,1577,,,,,,,,,,
,min,1837.18,1837.18,145168,1.0,1.0,1.0,1.0,0.0,0.5,1.0,,,
,delta,,,1577,,,,,,,,10985,14.35594,∆ abs(i)
,max,1837.67,1837.66,207876,1.0,1.5,-2.5,-1.0,1.5,-1.0,0.0,,,
,mean,1837.47(-0.29)(0.20),1837.42,-505,,,,,,,,,,
,min,1837.18,1837.18,208382,1.0,1.5,-2.5,-0.5,-1.0,-2.5,0.5,,,
,delta,,,505,,,,,,,,10985,4.59718,∆ abs(i)
,max,1837.67,1837.66,224825,1.0,1.5,-2.0,2.5,2.0,-2.5,-0.5,,,
,mean,1837.47(-0.29)(0.20),1837.42,406,,,,,,,,,,
,min,1837.18,1837.18,224420,1.0,1.5,-2.0,2.5,-1.5,2.5,-0.5,,,
,delta,,,406,,,,,,,,10985,3.69595,∆ abs(i)
,max,1837.67,1837.66,836234,1.5,-2.5,2.5,-3.0,0.0,-2.5,-0.5,,,
,mean,1837.47(-0.29)(0.20),1837.42,205,,,,,,,,,,
,min,1837.18,1837.18,836030,1.5,-2.5,2.5,-3.0,-2.0,3.0,0.0,,,
,delta,,,205,,,,,,,,10985,1.86618,∆ abs(i)
,max,1837.67,1837.64,851981,1.5,-2.5,3.0,0.0,-2.5,-1.0,0.5,,,
,mean,1837.47(-0.29)(0.20),1837.42,-153,,,,,,,,,,
,min,1837.18,1837.19,852135,1.5,-2.5,3.0,0.0,-1.5,1.5,0.0,,,
,delta,,,153,,,,,,,,65910,0.23213,∆ abs(i)
,max,1837.67,1837.66,913643,1.5,-2.0,-0.5,-2.5,-2.0,-1.5,1.0,,,
,mean,1837.47(-0.29)(0.20),1837.42,-586,,,,,,,,,,
,min,1837.18,1837.18,914230,1.5,-2.0,-0.5,-2.5,2.5,-1.0,-0.5,,,
,delta,,,586,,,,,,,,10985,5.33455,∆ abs(i)
,max,1837.67,1837.66,930300,1.5,-2.0,0.0,0.5,2.5,0.5,-0.5,,,
,mean,1837.47(-0.29)(0.20),1837.42,-718,,,,,,,,,,
,min,1837.18,1837.18,931019,1.5,-2.0,0.0,1.0,1.5,1.0,-1.0,,,
,delta,,,718,,,,,,,,10985,6.53619,∆ abs(i)
,max,1837.67,1837.66,945498,1.5,-2.0,0.5,3.0,2.5,-1.0,1.0,,,
,mean,1837.47(-0.29)(0.20),1837.43,-34,,,,,,,,,,
,min,1837.18,1837.2,945533,1.5,-2.0,0.5,3.0,2.5,2.5,1.0,,,
,delta,,,34,,,,,,,,10985,0.30951,∆ abs(i)
,max,1837.67,1837.66,1009464,1.5,-1.5,-3.0,2.0,0.5,0.0,-1.0,,,
,mean,1837.47(-0.29)(0.20),1837.43,933,,,,,,,,,,
,min,1837.18,1837.2,1008532,1.5,-1.5,-3.0,1.5,0.0,-2.5,0.5,,,
,delta,,,933,,,,,,,,10985,8.4934,∆ abs(i)
,total,,,5325,,,,,,,,164775,3.23168,Σ ∆i
Neutron,particle,,,,,,,,,,,,,
,max,1838.68366273,1838.68366244,145301,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
,mean,1838.68366200(74),1838.68366244,1,,,,,,,,,,
,min,1838.68366126,1838.68366244,145301,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
,delta,,,1,,,,,,,,10985,0.0091,∆ abs(i)
,total,,,1,,,,,,,,10985,0.0091,Σ ∆i
Eta η`,particle,,,,,,,,,,,,,
,max,1874.42,1874.42,153344,1.0,1.0,1.5,-0.5,-2.0,-0.5,-1.0,,,
,mean,1874.32(11),1874.32,854,,,,,,,,,,
,min,1874.21,1874.21,152491,1.0,1.0,1.5,-1.0,-2.0,-1.5,0.0,,,
,delta,,,854,,,,,,,,10985,7.77424,∆ abs(i)
,max,1874.42,1874.42,214915,1.0,1.5,-2.0,-3.0,-3.0,1.0,-0.5,,,
,mean,1874.32(11),1874.32,47023,,,,,,,,,,
,min,1874.21,1874.21,167893,1.0,1.0,2.0,1.5,-0.5,-2.0,1.0,,,
,delta,,,47023,,,,,,,,10985,428.06554,∆ abs(i)
,max,1874.42,1874.42,229922,1.0,1.5,-1.5,-1.0,2.0,0.0,0.5,,,
,mean,1874.32(11),1874.31,-926,,,,,,,,,,
,min,1874.21,1874.21,230849,1.0,1.5,-1.5,-0.5,2.5,2.0,-1.0,,,
,delta,,,926,,,,,,,,10985,8.42968,∆ abs(i)
,max,1874.42,1874.42,246502,1.0,1.5,-1.0,2.5,-0.5,0.5,0.5,,,
,mean,1874.32(11),1874.32,51,,,,,,,,,,
,min,1874.21,1874.21,246452,1.0,1.5,-1.0,2.5,-1.0,2.0,0.5,,,
,delta,,,51,,,,,,,,65910,0.07738,∆ abs(i)
,max,1874.42,1874.42,936226,1.5,-2.0,0.5,-2.5,2.5,1.5,0.0,,,
,mean,1874.32(11),1874.31,-315,,,,,,,,,,
,min,1874.21,1874.21,936542,1.5,-2.0,0.5,-2.0,-1.5,0.5,0.5,,,
,delta,,,315,,,,,,,,10985,2.86755,∆ abs(i)
,max,1874.42,1874.42,952757,1.5,-2.0,1.0,1.0,0.0,-3.0,0.5,,,
,mean,1874.32(11),1874.32,-787,,,,,,,,,,
,min,1874.21,1874.21,953545,1.5,-2.0,1.0,1.5,-0.5,-2.0,-0.5,,,
,delta,,,787,,,,,,,,10985,7.16431,∆ abs(i)
,max,1874.42,1874.42,1015006,1.5,-1.5,-2.5,-1.0,-2.5,1.5,0.0,,,
,mean,1874.32(11),1874.31,-1127,,,,,,,,,,
,min,1874.21,1874.21,1016134,1.5,-1.5,-2.5,-0.5,0.0,-2.5,-1.0,,,
,delta,,,1127,,,,,,,,10985,10.25944,∆ abs(i)
,max,1874.42,1874.42,1031960,1.5,-1.5,-2.0,2.5,-2.0,0.5,-0.5,,,
,mean,1874.32(11),1874.31,1864,,,,,,,,,,
,min,1874.21,1874.21,1030097,1.5,-1.5,-2.0,1.0,3.0,2.5,0.5,,,
,delta,,,1864,,,,,,,,10985,16.96859,∆ abs(i)
,total,,,52947,,,,,,,,142805,37.07643,Σ ∆i
Phi ,particle,,,,,,,,,,,,,
,max,1995.066,1995.051,280844,1.0,1.5,1.0,-3.0,-3.0,3.0,-1.0,,,
,mean,1995.035(31),1995.046,-19,,,,,,,,,,
,min,1995.004,1995.04,280864,1.0,1.5,1.0,-3.0,-2.5,-1.5,-1.0,,,
,delta,,,19,,,,,,,,10985,0.17296,∆ abs(i)
,max,1995.066,1995.064,296390,1.0,1.5,1.5,-0.5,0.0,-2.5,-0.5,,,
,mean,1995.035(31),1995.034,1003,,,,,,,,,,
,min,1995.004,1995.004,295388,1.0,1.5,1.5,-1.0,-1.5,1.0,1.0,,,
,delta,,,1003,,,,,,,,10985,9.13063,∆ abs(i)
,max,1995.066,1995.065,311548,1.0,1.5,2.0,2.0,-0.5,-1.5,1.0,,,
,mean,1995.035(31),1995.037,-47196,,,,,,,,,,
,min,1995.004,1995.008,358745,1.0,2.0,-2.0,-2.5,-1.5,-0.5,-0.5,,,
,delta,,,47196,,,,,,,,10985,429.64042,∆ abs(i)
,max,1995.066,1995.056,374786,1.0,2.0,-1.5,0.5,-1.5,-2.0,0.0,,,
,mean,1995.035(31),1995.037,750,,,,,,,,,,
,min,1995.004,1995.019,374037,1.0,2.0,-1.5,0.0,-1.0,1.0,0.5,,,
,delta,,,750,,,,,,,,10985,6.82749,∆ abs(i)
,max,1995.066,1995.065,389968,1.0,2.0,-1.0,3.0,-2.0,1.5,1.0,,,
,mean,1995.035(31),1995.035,317,,,,,,,,,,
,min,1995.004,1995.005,389652,1.0,2.0,-1.0,2.5,2.0,2.5,0.5,,,
,delta,,,317,,,,,,,,65910,0.48096,∆ abs(i)
,max,1995.066,1995.064,1079747,1.5,-1.5,0.5,-2.0,1.5,1.5,0.5,,,
,mean,1995.035(31),1995.037,-275,,,,,,,,,,
,min,1995.004,1995.01,1080023,1.5,-1.5,0.5,-1.5,-3.0,3.0,1.0,,,
,delta,,,275,,,,,,,,10985,2.50341,∆ abs(i)
,max,1995.066,1995.058,1097180,1.5,-1.5,1.0,2.0,-1.0,3.0,-0.5,,,
,mean,1995.035(31),1995.031,190,,,,,,,,,,
,min,1995.004,1995.004,1096991,1.5,-1.5,1.0,2.0,-2.0,-3.0,0.0,,,
,delta,,,190,,,,,,,,10985,1.72963,∆ abs(i)
,max,1995.066,1995.062,1159196,1.5,-1.0,-2.5,-0.5,2.0,-3.0,0.0,,,
,mean,1995.035(31),1995.034,-547,,,,,,,,,,
,min,1995.004,1995.005,1159744,1.5,-1.0,-2.5,0.0,-0.5,0.0,-1.0,,,
,delta,,,547,,,,,,,,10985,4.97952,∆ abs(i)
,max,1995.066,1995.065,1174933,1.5,-1.0,-2.0,2.5,-0.5,-2.5,1.0,,,
,mean,1995.035(31),1995.035,-621,,,,,,,,,,
,min,1995.004,1995.004,1175555,1.5,-1.0,-2.0,3.0,-2.5,1.5,-0.5,,,
,delta,,,621,,,,,,,,10985,5.65316,∆ abs(i)
,total,,,50918,,,,,,,,153790,33.10878,Σ ∆i
c,particle,,,,,,,,,,,,,
,max,2524.0,2446.0,753139,1.0,3.0,3.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2446.0,-59,,,,,,,,,,
,min,2446.0,2446.0,753199,1.0,3.0,3.0,-3.0,-3.0,3.0,-1.0,,,
,delta,,,59,,,,,,,,779935,0.00756,∆ abs(i)
,max,2524.0,2462.0,1549779,1.5,0.0,2.5,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2454.0,-2936,,,,,,,,,,
,min,2446.0,2446.0,1552716,1.5,0.0,2.5,-1.5,0.0,-2.0,0.0,,,
,delta,,,2936,,,,,,,,10985,26.72736,∆ abs(i)
,max,2524.0,2481.0,1560764,1.5,0.0,3.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2463.0,-9449,,,,,,,,,,
,min,2446.0,2446.0,1570214,1.5,0.0,3.0,2.5,-2.0,-0.5,-1.0,,,
,delta,,,9449,,,,,,,,65910,14.33622,∆ abs(i)
,max,2524.0,2468.0,1626674,1.5,0.5,-0.5,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2457.0,-4337,,,,,,,,,,
,min,2446.0,2446.0,1631012,1.5,0.5,-0.5,-0.5,-2.5,1.5,0.5,,,
,delta,,,4337,,,,,,,,10985,39.48111,∆ abs(i)
,max,2524.0,2487.0,1637659,1.5,0.5,0.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2466.0,-10619,,,,,,,,,,
,min,2446.0,2446.0,1648279,1.5,0.5,0.0,3.0,0.5,-0.5,-1.0,,,
,delta,,,10619,,,,,,,,10985,96.66818,∆ abs(i)
,max,2524.0,2507.0,1648644,1.5,0.5,0.5,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2482.0,-10983,,,,,,,,,,
,min,2446.0,2456.0,1659628,1.5,0.5,0.5,3.0,3.0,3.0,1.0,,,
,delta,,,10983,,,,,,,,10985,99.98179,∆ abs(i)
,max,2524.0,2523.0,1659994,1.5,0.5,1.0,-3.0,-0.5,1.0,-1.0,,,
,mean,2485(-39)(39),2485.0,-65340,,,,,,,,,,
,min,2446.0,2446.0,1725335,1.5,1.0,-3.0,3.0,1.5,2.5,-0.5,,,
,delta,,,65340,,,,,,,,10985,594.81111,∆ abs(i)
,max,2524.0,2523.0,1674687,1.5,0.5,1.5,-1.0,2.0,1.0,0.5,,,
,mean,2485(-39)(39),2491.0,-61835,,,,,,,,,,
,min,2446.0,2459.0,1736523,1.5,1.0,-2.5,3.0,3.0,3.0,1.0,,,
,delta,,,61835,,,,,,,,10985,562.90396,∆ abs(i)
,max,2524.0,2523.0,1690857,1.5,0.5,2.0,2.0,3.0,-0.5,0.5,,,
,mean,2485(-39)(39),2502.0,-56650,,,,,,,,,,
,min,2446.0,2480.0,1747508,1.5,1.0,-2.0,3.0,3.0,3.0,1.0,,,
,delta,,,56650,,,,,,,,10985,515.70323,∆ abs(i)
,max,2524.0,2523.0,1753336,1.5,1.0,-1.5,0.0,2.5,1.0,0.0,,,
,mean,2485(-39)(39),2512.0,-5156,,,,,,,,,,
,min,2446.0,2500.0,1758493,1.5,1.0,-1.5,3.0,3.0,3.0,1.0,,,
,delta,,,5156,,,,,,,,10985,46.93673,∆ abs(i)
,max,2524.0,2523.0,1769432,1.5,1.0,-1.0,3.0,3.0,-1.5,0.5,,,
,mean,2485(-39)(39),2522.0,-45,,,,,,,,,,
,min,2446.0,2520.0,1769478,1.5,1.0,-1.0,3.0,3.0,3.0,1.0,,,
,delta,,,45,,,,,,,,65910,0.06827,∆ abs(i)
,max,2524.0,2457.0,2527444,2.0,-3.0,1.5,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2451.0,-1342,,,,,,,,,,
,min,2446.0,2446.0,2528787,2.0,-3.0,1.5,-2.5,0.5,1.0,0.5,,,
,delta,,,1342,,,,,,,,10985,12.21666,∆ abs(i)
,max,2524.0,2477.0,2538429,2.0,-3.0,2.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2461.0,-6967,,,,,,,,,,
,min,2446.0,2446.0,2545397,2.0,-3.0,2.0,1.0,-1.5,-2.0,0.5,,,
,delta,,,6967,,,,,,,,10985,63.42285,∆ abs(i)
,max,2524.0,2497.0,2549414,2.0,-3.0,2.5,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2471.0,-58835,,,,,,,,,,
,min,2446.0,2446.0,2608250,2.0,-2.5,-1.5,-1.0,1.0,-2.0,-0.5,,,
,delta,,,58835,,,,,,,,10985,535.59399,∆ abs(i)
,max,2524.0,2516.0,2560399,2.0,-3.0,3.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2481.0,-63355,,,,,,,,,,
,min,2446.0,2446.0,2623755,2.0,-2.5,-1.0,1.5,3.0,1.5,-0.5,,,
,delta,,,63355,,,,,,,,65910,96.1235,∆ abs(i)
,max,2524.0,2503.0,2626309,2.0,-2.5,-0.5,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2477.0,-10983,,,,,,,,,,
,min,2446.0,2451.0,2637293,2.0,-2.5,-0.5,3.0,3.0,3.0,1.0,,,
,delta,,,10983,,,,,,,,10985,99.98179,∆ abs(i)
,max,2524.0,2522.0,2637294,2.0,-2.5,0.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2497.0,-10983,,,,,,,,,,
,min,2446.0,2472.0,2648278,2.0,-2.5,0.0,3.0,3.0,3.0,1.0,,,
,delta,,,10983,,,,,,,,10985,99.98179,∆ abs(i)
,max,2524.0,2523.0,2653349,2.0,-2.5,0.5,0.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2507.0,-5913,,,,,,,,,,
,min,2446.0,2491.0,2659263,2.0,-2.5,0.5,3.0,3.0,3.0,1.0,,,
,delta,,,5913,,,,,,,,10985,53.82795,∆ abs(i)
,max,2524.0,2523.0,2714346,2.0,-2.0,-3.0,-3.0,-2.0,-0.5,0.0,,,
,mean,2485(-39)(39),2499.0,-10826,,,,,,,,,,
,min,2446.0,2474.0,2725173,2.0,-2.0,-3.0,3.0,3.0,3.0,1.0,,,
,delta,,,10826,,,,,,,,10985,98.55257,∆ abs(i)
,max,2524.0,2523.0,2730620,2.0,-2.0,-2.5,0.0,-0.5,2.0,-0.5,,,
,mean,2485(-39)(39),2509.0,-5537,,,,,,,,,,
,min,2446.0,2495.0,2736158,2.0,-2.0,-2.5,3.0,3.0,3.0,1.0,,,
,delta,,,5537,,,,,,,,10985,50.4051,∆ abs(i)
,max,2524.0,2523.0,2745363,2.0,-2.0,-2.0,2.0,2.5,0.5,1.0,,,
,mean,2485(-39)(39),2519.0,-1779,,,,,,,,,,
,min,2446.0,2515.0,2747143,2.0,-2.0,-2.0,3.0,3.0,3.0,1.0,,,
,delta,,,1779,,,,,,,,10985,16.19481,∆ abs(i)
,total,,,403929,,,,,,,,1164410,34.68959,Σ ∆i
Tau,particle,,,,,,,,,,,,,
,max,3477.46,3477.45,3694490,2.0,1.0,2.5,-1.5,-2.5,0.5,-0.5,,,
,mean,3477.23(23),3477.23,620,,,,,,,,,,
,min,3477.0,3477.0,3693871,2.0,1.0,2.5,-2.0,-0.5,-3.0,0.0,,,
,delta,,,620,,,,,,,,10985,5.64406,∆ abs(i)
,max,3477.46,3477.45,3711294,2.0,1.0,3.0,2.0,-3.0,-2.5,-1.0,,,
,mean,3477.23(23),3477.22,1000,,,,,,,,,,
,min,3477.0,3477.0,3710295,2.0,1.0,3.0,1.0,2.0,1.5,-0.5,,,
,delta,,,1000,,,,,,,,65910,1.51722,∆ abs(i)
,max,3477.46,3477.45,3771623,2.0,1.5,-0.5,-1.5,-0.5,-2.0,1.0,,,
,mean,3477.23(23),3477.22,-1640,,,,,,,,,,
,min,3477.0,3477.0,3773264,2.0,1.5,-0.5,-0.5,-1.0,0.0,-1.0,,,
,delta,,,1640,,,,,,,,10985,14.92945,∆ abs(i)
,max,3477.46,3477.45,3788193,2.0,1.5,0.0,2.0,-3.0,-2.5,1.0,,,
,mean,3477.23(23),3477.22,93,,,,,,,,,,
,min,3477.0,3477.0,3788101,2.0,1.5,0.0,1.5,2.5,1.5,0.0,,,
,delta,,,93,,,,,,,,10985,0.84661,∆ abs(i)
,max,3477.46,3477.45,3866592,2.0,2.0,-3.0,2.5,2.0,-1.5,0.5,,,
,mean,3477.23(23),3477.23,-542,,,,,,,,,,
,min,3477.0,3477.0,3867135,2.0,2.0,-3.0,3.0,-0.5,1.0,-0.5,,,
,delta,,,542,,,,,,,,10985,4.934,∆ abs(i)
,max,3477.46,3477.45,4669927,2.5,-2.0,1.5,-3.0,0.0,-1.5,0.5,,,
,mean,3477.23(23),3477.23,-1506,,,,,,,,,,
,min,3477.0,3477.0,4671434,2.5,-2.0,1.5,-2.0,-1.5,0.0,-1.0,,,
,delta,,,1506,,,,,,,,10985,13.7096,∆ abs(i)
,max,3477.46,3477.45,4686201,2.5,-2.0,2.0,0.0,1.5,1.0,0.0,,,
,mean,3477.23(23),3477.22,-957,,,,,,,,,,
,min,3477.0,3477.0,4687159,2.5,-2.0,2.0,0.5,2.5,-0.5,-1.0,,,
,delta,,,957,,,,,,,,10985,8.71188,∆ abs(i)
,max,3477.46,3477.45,4749389,2.5,-1.5,-1.5,-1.5,0.0,2.0,-1.0,,,
,mean,3477.23(23),3477.23,-535,,,,,,,,,,
,min,3477.0,3477.0,4749925,2.5,-1.5,-1.5,-1.0,-2.0,-3.0,-0.5,,,
,delta,,,535,,,,,,,,10985,4.87028,∆ abs(i)
,max,3477.46,3477.45,4764821,2.5,-1.5,-1.0,1.0,2.0,-2.0,0.0,,,
,mean,3477.23(23),3477.23,-1872,,,,,,,,,,
,min,3477.0,3477.0,4766694,2.5,-1.5,-1.0,2.5,-3.0,-3.0,-1.0,,,
,delta,,,1872,,,,,,,,65910,2.84024,∆ abs(i)
,total,,,8765,,,,,,,,208715,4.19951,Σ ∆i
D$^0$,particle,,,,,,,,,,,,,
,max,3649.48,3649.47,3935355,2.0,2.0,0.5,-2.0,-2.0,-2.0,-0.5,,,
,mean,3649.38(10),3649.37,192,,,,,,,,,,
,min,3649.28,3649.28,3935164,2.0,2.0,0.5,-2.5,3.0,-1.5,-1.0,,,
,delta,,,192,,,,,,,,10985,1.74784,∆ abs(i)
,max,3649.48,3649.47,3951065,2.0,2.0,1.0,0.5,1.5,2.5,-0.5,,,
,mean,3649.38(10),3649.37,-1133,,,,,,,,,,
,min,3649.28,3649.28,3952199,2.0,2.0,1.0,1.5,-2.5,-1.0,-1.0,,,
,delta,,,1133,,,,,,,,10985,10.31406,∆ abs(i)
,max,3649.48,3649.47,4014779,2.0,2.5,-2.5,-0.5,-2.0,-2.5,-1.0,,,
