particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
e,mean,1.00000000000(31),,,,,,,,,,,,only with i4 > 1
u,mean,4.18(-0.51)(0.96),,,,,,,,,,,,only with i4 > 1
d,mean,9.14(-0.33)(0.94),,,,,,,,,,,,only with i4 > 1
s,mean,182.8(-6.6)(16.8),,,,,,,,,,,,only with i4 > 1
Muon,mean,206.7682827(46),,,,,,,,,,,,only with i4 > 1
Pion π$^0$,mean,264.1430(9),,,,,,,,,,,,only with i4 > 1
Pion π$^{+-}$,mean,273.13243(35),,,,,,,,,,,,only with i4 > 1
K$^{+-}$,mean,966.102(21),,,,,,,,,,,,only with i4 > 1
KL$^0$,mean,973.800(26),,,,,,,,,,,,only with i4 > 1
KS$^0$,mean,973.800(26),,,,,,,,,,,,only with i4 > 1
Eta η,mean,1072.139(35),,,,,,,,,,,,only with i4 > 1
Rho ρ$^{+-}$,mean,1506(1),,,,,,,,,,,,only with i4 > 1
Rho ρ$^0$,mean,1517.14(49),,,,,,,,,,,,only with i4 > 1
Omega ω,mean,1531.62(25),,,,,,,,,,,,only with i4 > 1
K*$^{+-}$,particle,,,,,,,,,,,,,
,max,1745.3,1745.2,7240,1.0,0.5,1.0,-3.0,-3.0,3.0,-0.5,,,
,mean,1745.2(1),1745.1,-268,,,,,,,,,,
,min,1745.1,1745.1,7509,1.0,0.5,1.0,-3.0,-0.5,-2.5,-1.0,,,
,delta,,,268,,,,,,,,10985,2.43969,∆ abs(i)
,max,1745.3,1745.2,21898,1.0,0.5,1.5,-1.0,0.5,-3.0,1.0,,,
,mean,1745.2(1),1745.1,-459,,,,,,,,,,
,min,1745.1,1745.1,22358,1.0,0.5,1.5,-0.5,-2.5,-2.5,1.0,,,
,delta,,,459,,,,,,,,10985,4.17843,∆ abs(i)
,max,1745.3,1745.2,72487,1.0,1.0,-2.0,-3.0,0.0,-0.5,0.5,,,
,mean,1745.2(1),1745.2,34405,,,,,,,,,,
,min,1745.1,1745.1,38083,1.0,0.5,2.0,2.0,1.5,-3.0,1.0,,,
,delta,,,34405,,,,,,,,10985,313.19982,∆ abs(i)
,max,1745.3,1745.2,89108,1.0,1.0,-1.5,0.5,-2.0,-2.5,1.0,,,
,mean,1745.2(1),1745.1,253,,,,,,,,,,
,min,1745.1,1745.1,88856,1.0,1.0,-1.5,0.0,2.5,-1.5,0.0,,,
,delta,,,253,,,,,,,,10985,2.30314,∆ abs(i)
,max,1745.3,1745.2,104936,1.0,1.0,-1.0,3.0,2.5,1.0,0.0,,,
,mean,1745.2(1),1745.2,774,,,,,,,,,,
,min,1745.1,1745.1,104163,1.0,1.0,-1.0,2.5,3.0,1.5,1.0,,,
,delta,,,774,,,,,,,,65910,1.17433,∆ abs(i)
,max,1745.3,1745.2,796393,1.5,-2.5,0.5,-0.5,-1.0,-2.0,-1.0,,,
,mean,1745.2(1),1745.1,1622,,,,,,,,,,
,min,1745.1,1745.1,794772,1.5,-2.5,0.5,-1.5,-0.5,-2.0,1.0,,,
,delta,,,1622,,,,,,,,10985,14.76559,∆ abs(i)
,max,1745.3,1745.2,811655,1.5,-2.5,1.0,2.0,-1.0,3.0,0.0,,,
,mean,1745.2(1),1745.2,-46697,,,,,,,,,,
,min,1745.1,1745.1,858353,1.5,-2.0,-3.0,-3.0,1.0,-0.5,-1.0,,,
,delta,,,46697,,,,,,,,10985,425.09786,∆ abs(i)
,max,1745.3,1745.2,873342,1.5,-2.0,-2.5,-0.5,0.0,-1.5,0.5,,,
,mean,1745.2(1),1745.1,-2196,,,,,,,,,,
,min,1745.1,1745.1,875539,1.5,-2.0,-2.5,1.0,-2.5,-2.5,-1.0,,,
,delta,,,2196,,,,,,,,10985,19.9909,∆ abs(i)
,max,1745.3,1745.2,890435,1.5,-2.0,-2.0,3.0,1.5,-1.5,-0.5,,,
,mean,1745.2(1),1745.1,1074,,,,,,,,,,
,min,1745.1,1745.1,889362,1.5,-2.0,-2.0,2.5,-0.5,1.5,0.5,,,
,delta,,,1074,,,,,,,,10985,9.77697,∆ abs(i)
,total,,,87748,,,,,,,,153790,57.05703,Σ ∆i
K*$^0$,particle,,,,,,,,,,,,,
,max,1752.6,1752.6,20058,1.0,0.5,1.5,-2.0,-1.0,1.5,1.0,,,
,mean,1752.6(1),1752.6,-787,,,,,,,,,,
,min,1752.5,1752.5,20846,1.0,0.5,1.5,-1.5,-1.5,2.5,0.0,,,
,delta,,,787,,,,,,,,10985,7.16431,∆ abs(i)
,max,1752.6,1752.6,72140,1.0,1.0,-2.0,-3.0,-2.5,-2.5,-0.5,,,
,mean,1752.6(1),1752.5,34456,,,,,,,,,,
,min,1752.5,1752.5,37685,1.0,0.5,2.0,2.0,-2.0,3.0,-0.5,,,
,delta,,,34456,,,,,,,,10985,313.66409,∆ abs(i)
,max,1752.6,1752.6,87381,1.0,1.0,-1.5,-0.5,-2.5,0.5,0.0,,,
,mean,1752.6(1),1752.6,113,,,,,,,,,,
,min,1752.5,1752.5,87269,1.0,1.0,-1.5,-1.0,3.0,2.5,-1.0,,,
